stock
stock;;;;;;;;;;
stock;;;;;;;;;;
"id";"name";"description";"category";"price";"in_stock";"rating";"review_count";"sku";"manufacturer";"country"
"187";"MLight «АВИОР», 40 Вт, ДКУ/М";"Детали Вес 4.3 kg Габриты 483х246х94 mm | Преимущества Современный корпус светильника органично вписывается в городскую среду;; Блок питания термически развязан от основного источника тепла (светодиодного модуля), что увеличивает срок службы светильника;; Легок в монтаже;; Высокая энергоэффективность и высокий световой поток (благодаря применению высококачественных комплектующих);; Корпус светильника надежно защищен от коррозии. | Фото светильника: export_file_179573_files/iblock/863/3zhu2b5e102lsnzx847fg60pnmzrabsw.png | Мощность: 40 Вт | Световой поток: 6 000 Лм | Цветовая температура: 4000 К /5000 К | Степень защиты: IP 65 | Угол рассеивания: ШБ (широкая боковая) | Габариты: 483х246х94 | Вес: 4.3 кг | Материал корпуса: штампованная сталь порошковой окраски | Тип LED: SAMSUNG | Драйвер: Mean Well | Диммирование: алюминий | Срок службы: 100 000 часов | Гарантия: 5 лет | Параметр 21: УХЛ 1 | Параметр 30: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Параметр 31: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Подробное описание: Светодиодные светильники серии ""АВИОР"" для уличного освещения с КСС ""ШБ"" оснащён качественным источником питания «Mean Well», лидера мирового рынка источников питания. Применяется для освещения улиц и дорог категории А, В, С. Светильник оснащён специальной магистральной вторичной оптикой (линзой), обеспечивающей широкую боковую кривую силы света (""ШБ""). Применение данной линзы позволяет обеспечить равномерную засветку дорожного полотна. Стальной штампованный корпус окрашенный порошковой краской, обеспечивает прочность, надежность, стойкость к коррозии и безупречный отвод тепла от светодиодов. В светильнике данной серии используется драйвер «Mean Well», обеспечивающий: защиту светильника от перегрева; защиту от высоких скачков напряжения (320В в течении 24ч., 360В в течении 1ч.); защиту от короткого замыкания (КЗ); широкий диапазон питающего напряжения 100-305В(AC), 142-431В(DC); имеет гальваническую изоляцию; соответствует стандартам по электромагнитной совместимости. Применяется для освещения Улиц, городских тротуаров; Внутриквартальных территорий; Парков и скверов; Территорий торговых центров и многих других объектов;";"Магистральное освещение КСС ""Ш""/""Шб""";"7411.0";"";"";"";"Mlight CC A-40-К-Р-4/5К-ШБ-65-М";"тм MLight";"Россия (г. Санкт-Петербург)"
"188";"MLight «АВИОР», 55 Вт, ДКУ/М";"Детали Вес 4.3 kg Габриты 483х246х94 mm | Преимущества Современный корпус светильника органично вписывается в городскую среду;; Блок питания термически развязан от основного источника тепла (светодиодного модуля), что увеличивает срок службы светильника;; Легок в монтаже;; Высокая энергоэффективность и высокий световой поток (благодаря применению высококачественных комплектующих);; Корпус светильника надежно защищен от коррозии. | Фото светильника: export_file_179573_files/iblock/863/3zhu2b5e102lsnzx847fg60pnmzrabsw.png | Мощность: 55 Вт | Световой поток: 8 525 Лм | Цветовая температура: 4000 К /5000 К | Степень защиты: IP 65 | Угол рассеивания: ШБ (широкая боковая) | Габариты: 483х246х94 | Вес: 4.3 кг | Материал корпуса: штампованная сталь порошковой окраски | Тип LED: SAMSUNG | Драйвер: Mean Well | Диммирование: алюминий | Срок службы: 100 000 часов | Гарантия: 5 лет | Параметр 21: УХЛ 1 | Параметр 30: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Параметр 31: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013";"Магистральное освещение КСС ""Ш""/""Шб""";"7714.0";"";"";"";"Mlight CC A-55-К-Р-4/5К-ШБ-65-М";"тм MLight";"Россия (г. Санкт-Петербург)"
"189";"MLight «АВИОР», 60 Вт, ДКУ/М";"Детали Вес 4.4 kg Габриты 483х246х94 mm | Преимущества Современный корпус светильника органично вписывается в городскую среду;; Блок питания термически развязан от основного источника тепла (светодиодного модуля), что увеличивает срок службы светильника;; Легок в монтаже;; Высокая энергоэффективность и высокий световой поток (благодаря применению высококачественных комплектующих);; Корпус светильника надежно защищен от коррозии. | Фото светильника: export_file_179573_files/iblock/863/3zhu2b5e102lsnzx847fg60pnmzrabsw.png | Мощность: 60 Вт | Световой поток: 9 000 Лм | Цветовая температура: 4000 К /5000 К | Степень защиты: IP 65 | Угол рассеивания: ШБ (широкая боковая) | Габариты: 483х246х94 | Вес: 4.4 кг | Материал корпуса: штампованная сталь порошковой окраски | Тип LED: SAMSUNG | Драйвер: Mean Well | Диммирование: алюминий | Срок службы: 100 000 часов | Гарантия: 5 лет | Параметр 21: УХЛ 1 | Параметр 30: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Параметр 31: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013";"Магистральное освещение КСС ""Ш""/""Шб""";"7865.0";"";"";"";"Mlight CC A-60-К-Р-4/5К-ШБ-65-М";"тм MLight";"Россия (г. Санкт-Петербург)"
"190";"MLight «АВИОР», 70 Вт, ДКУ/М";"Детали Вес 5.4 kg Габриты 615х285х122 mm | Преимущества Современный корпус светильника органично вписывается в городскую среду;; Блок питания термически развязан от основного источника тепла (светодиодного модуля), что увеличивает срок службы светильника;; Легок в монтаже;; Высокая энергоэффективность и высокий световой поток (благодаря применению высококачественных комплектующих);; Корпус светильника надежно защищен от коррозии. | Фото светильника: export_file_179573_files/iblock/863/3zhu2b5e102lsnzx847fg60pnmzrabsw.png | Мощность: 70 Вт | Световой поток: 10 500 Лм | Цветовая температура: 4000 К /5000 К | Степень защиты: IP 65 | Угол рассеивания: ШБ (широкая боковая) | Габариты: 615х285х122 | Вес: 5.4 кг | Материал корпуса: штампованная сталь порошковой окраски | Тип LED: SAMSUNG | Драйвер: Mean Well | Диммирование: алюминий | Срок службы: 100 000 часов | Гарантия: 5 лет | Параметр 21: УХЛ 1 | Параметр 30: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Параметр 31: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013";"Магистральное освещение КСС ""Ш""/""Шб""";"9226.0";"";"";"";"Mlight CC A-70-К-Р-4/5К-ШБ-65-М";"тм MLight";"Россия (г. Санкт-Петербург)"
"191";"MLight «АВИОР», 80 Вт, ДКУ/М";"Детали Вес 5.4 kg Габриты 615х285х122 mm | Преимущества Современный корпус светильника органично вписывается в городскую среду;; Блок питания термически развязан от основного источника тепла (светодиодного модуля), что увеличивает срок службы светильника;; Легок в монтаже;; Высокая энергоэффективность и высокий световой поток (благодаря применению высококачественных комплектующих);; Корпус светильника надежно защищен от коррозии. | Фото светильника: export_file_179573_files/iblock/863/3zhu2b5e102lsnzx847fg60pnmzrabsw.png | Мощность: 80 Вт | Световой поток: 12 000 Лм | Цветовая температура: 4000 К /5000 К | Степень защиты: IP 65 | Угол рассеивания: ШБ (широкая боковая) | Габариты: 615х285х122 | Вес: 5.4 кг | Материал корпуса: штампованная сталь порошковой окраски | Тип LED: SAMSUNG | Драйвер: Mean Well | Диммирование: алюминий | Срок службы: 100 000 часов | Гарантия: 5 лет | Параметр 21: УХЛ 1 | Параметр 30: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Параметр 31: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013";"Магистральное освещение КСС ""Ш""/""Шб""";"9377.0";"";"";"";"Mlight CC A-80-К-Р-4/5К-ШБ-65-М";"тм MLight";"Россия (г. Санкт-Петербург)"
"192";"MLight «АВИОР», 90 Вт, ДКУ/М";"Детали Вес 5.4 kg Габриты 615х285х122 mm | Преимущества Современный корпус светильника органично вписывается в городскую среду;; Блок питания термически развязан от основного источника тепла (светодиодного модуля), что увеличивает срок службы светильника;; Легок в монтаже;; Высокая энергоэффективность и высокий световой поток (благодаря применению высококачественных комплектующих);; Корпус светильника надежно защищен от коррозии. | Фото светильника: export_file_179573_files/iblock/863/3zhu2b5e102lsnzx847fg60pnmzrabsw.png | Мощность: 90 Вт | Световой поток: 13 500 Лм | Цветовая температура: 4000 К /5000 К | Степень защиты: IP 65 | Угол рассеивания: ШБ (широкая боковая) | Габариты: 615х285х122 | Вес: 5.4 кг | Материал корпуса: штампованная сталь порошковой окраски | Тип LED: SAMSUNG | Драйвер: Mean Well | Диммирование: алюминий | Срок службы: 100 000 часов | Гарантия: 5 лет | Параметр 21: УХЛ 1 | Параметр 30: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Параметр 31: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013";"Магистральное освещение КСС ""Ш""/""Шб""";"9530.0";"";"";"";"Mlight CC A-90-К-Р-4/5К-ШБ-65-М";"тм MLight";"Россия (г. Санкт-Петербург)"
"193";"MLight «АВИОР»,100 Вт, ДКУ/М";"Детали Вес 5.4 kg Габриты 615х285х122 mm | Преимущества Современный корпус светильника органично вписывается в городскую среду;; Блок питания термически развязан от основного источника тепла (светодиодного модуля), что увеличивает срок службы светильника;; Легок в монтаже;; Высокая энергоэффективность и высокий световой поток (благодаря применению высококачественных комплектующих);; Корпус светильника надежно защищен от коррозии. | Фото светильника: export_file_179573_files/iblock/863/3zhu2b5e102lsnzx847fg60pnmzrabsw.png | Мощность: 100 Вт | Световой поток: 15 000 Лм | Цветовая температура: 4000 К /5000 К | Степень защиты: IP 65 | Угол рассеивания: ШБ (широкая боковая) | Габариты: 615х285х122 | Вес: 5.4 кг | Материал корпуса: штампованная сталь порошковой окраски | Тип LED: SAMSUNG | Драйвер: Mean Well | Диммирование: алюминий | Срок службы: 100 000 часов | Гарантия: 5 лет | Параметр 21: УХЛ 1 | Параметр 30: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Параметр 31: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013";"Магистральное освещение КСС ""Ш""/""Шб""";"9680.0";"";"";"";"Mlight CC A-100-К-Р-4/5К-ШБ-65-М";"тм MLight";"Россия (г. Санкт-Петербург)"
"194";"MLight «АВИОР»,125 Вт, ДКУ/М";"Детали Вес 6.2 kg Габриты 752х352х134 mm | Преимущества Современный корпус светильника органично вписывается в городскую среду;; Блок питания термически развязан от основного источника тепла (светодиодного модуля), что увеличивает срок службы светильника;; Легок в монтаже;; Высокая энергоэффективность и высокий световой поток (благодаря применению высококачественных комплектующих);; Корпус светильника надежно защищен от коррозии. | Фото светильника: export_file_179573_files/iblock/a86/i5ke0g4qw3ytpgujw3rcmvgx7r406vwk.png | Мощность: 125 Вт | Световой поток: 18 750 Лм | Цветовая температура: 4000 К /5000 К | Степень защиты: IP 65 | Угол рассеивания: ШБ (широкая боковая) | Габариты: 752х352х132 | Вес: 6.2 кг | Материал корпуса: штампованная сталь порошковой окраски | Тип LED: SAMSUNG | Драйвер: Mean Well | Диммирование: алюминий | Срок службы: 100 000 часов | Гарантия: 5 лет | Параметр 21: УХЛ 1 | Параметр 30: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Параметр 31: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013";"Магистральное освещение КСС ""Ш""/""Шб""";"12554.0";"";"";"";"Mlight CC A-125-К-Р-4/5К-ШБ-65-М";"тм MLight";"Россия (г. Санкт-Петербург)"
"195";"MLight «АВИОР»,140 Вт, ДКУ/М";"Детали Вес 6.3 kg Габриты 752х352х134 mm | Преимущества Современный корпус светильника органично вписывается в городскую среду;; Блок питания термически развязан от основного источника тепла (светодиодного модуля), что увеличивает срок службы светильника;; Легок в монтаже;; Высокая энергоэффективность и высокий световой поток (благодаря применению высококачественных комплектующих);; Корпус светильника надежно защищен от коррозии. | Фото светильника: export_file_179573_files/iblock/a86/i5ke0g4qw3ytpgujw3rcmvgx7r406vwk.png | Мощность: 140 Вт | Световой поток: 21 000 Лм | Цветовая температура: 4000 К /5000 К | Степень защиты: IP 65 | Угол рассеивания: ШБ (широкая боковая) | Габариты: 752х352х132 | Вес: 6.3 кг | Материал корпуса: штампованная сталь порошковой окраски | Тип LED: SAMSUNG CERAMICS | Драйвер: Mean Well | Диммирование: алюминий | Срок службы: 100 000 часов | Гарантия: 5 лет | Параметр 21: УХЛ 1 | Параметр 30: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Параметр 31: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Подробное описание: Описание Наименование – светодиодный светильник (LED) Артикул — Mlight CC A-140-К-Р-4/5К-Ш/ШБ-65-М Потребляемая мощность – 140 Вт Торговая марка — тм MLight Производитель – Россия (г. Санкт-Петербург) Световой поток светильника – 21 000 Лм Крепление: консольное с посадочным диаметром на трубу до 52 мм Оптика — LEDIL STRADA (Финляндия)/дополнительная защита — рассеиватель из прозрачного поликарбоната Коэффициент пульсаций – менее 1 % Цветовая температура – 4000/5000 К Марка светодиодов – SAMSUNG CERAMICS Срок службы – 100 000 часов Блок питания – Mean Well Светодиодная плата – алюминий Корпус светильника – штампованная сталь порошковой окраски Габариты светильника (мм): 752х352х132 Вес светильника: 6,3 кг Вид климатического исполнения – УХЛ 1 Время включения светильника – 0,5 сек Защита от попадания 380 В – есть Защита от короткого замыкания – есть (восстанавливается автоматически) Защита от холостого хода – есть, восстанавливается автоматически Превышение выходного напряжения – более 100 В (восстанавливается автоматически) Напряжение питания – 176 -264 В Пробивное напряжение — 1,5 кВ АС Cos ? ~ 0,97 Электромагнитная совместимость- ГОСТ30804.3-22013. ГОСТ 30804.33-2013. СТБ ЕН 55015-2006, ГОСТ IEC61547-2013 тип КСС: Ш (широкая)/ ШБ (широкая боковая) Индекс цветопередачи — более 80 Диапазон рабочих t – от- 50 до + 60 ° IP 65 Гарантия на светильник — 5 лет";"Магистральное освещение КСС ""Ш""/""Шб""";"14217.0";"";"";"";"Mlight CC A-140-К-Р-4/5К-ШБ-65-М";"тм MLight";"Россия (г. Санкт-Петербург)"
"196";"MLight «АВИОР»,150 Вт, ДКУ/М";"Детали Вес 6.3 kg Габриты 752х352х134 mm | Преимущества Современный корпус светильника органично вписывается в городскую среду;; Блок питания термически развязан от основного источника тепла (светодиодного модуля), что увеличивает срок службы светильника;; Легок в монтаже;; Высокая энергоэффективность и высокий световой поток (благодаря применению высококачественных комплектующих);; Корпус светильника надежно защищен от коррозии. | Фото светильника: export_file_179573_files/iblock/a86/i5ke0g4qw3ytpgujw3rcmvgx7r406vwk.png | Мощность: 150 Вт | Световой поток: 22 500 Лм | Цветовая температура: 4000 К /5000 К | Степень защиты: IP 65 | Угол рассеивания: ШБ (широкая боковая) | Габариты: 752х352х132 | Вес: 6.3 кг | Материал корпуса: штампованная сталь порошковой окраски | Тип LED: SAMSUNG CERAMICS | Драйвер: Mean Well | Диммирование: алюминий | Срок службы: 100 000 часов | Гарантия: 5 лет | Параметр 21: УХЛ 1 | Параметр 30: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Параметр 31: ГОСТ 30804.3.2-2013, ГОСТ 30804.3.3-2013, СТБ ЕН 55015-2006, ГОСТ IEC 61547-2013 | Подробное описание: Описание Наименование – светодиодный светильник (LED) Артикул — Mlight CC A-150-К-Р-4/5К-Ш/ШБ-65-М Потребляемая мощность – 150 Вт Торговая марка — тм MLight Производитель – Россия (г. Санкт-Петербург) Световой поток светильника – 22 500 Лм Крепление: консольное с посадочным диаметром на трубу до 52 мм Оптика — LEDIL STRADA (Финляндия)/дополнительная защита — рассеиватель из прозрачного поликарбоната Коэффициент пульсаций – менее 1 % Цветовая температура – 4000/5000 К Марка светодиодов – SAMSUNG CERAMICS Срок службы – 100 000 часов Блок питания – Mean Well Светодиодная плата – алюминий Корпус светильника – штампованная сталь порошковой окраски Габариты светильника (мм): 752х352х132 Вес светильника: 6,3 кг Вид климатического исполнения – УХЛ 1 Время включения светильника – 0,5 сек Защита от попадания 380 В – есть Защита от короткого замыкания – есть (восстанавливается автоматически) Защита от холостого хода – есть, восстанавливается автоматически Превышение выходного напряжения – более 100 В (восстанавливается автоматически) Напряжение питания – 176 -264 В Пробивное напряжение — 1,5 кВ АС Cos ? ~ 0,97 Электромагнитная совместимость- ГОСТ30804.3-22013. ГОСТ 30804.33-2013. СТБ ЕН 55015-2006, ГОСТ IEC61547-2013 тип КСС: Ш (широкая)/ ШБ (широкая боковая) Индекс цветопередачи — более 80 Диапазон рабочих t – от- 50 до + 60 ° IP 65 Гарантия на светильник — 5 лет";"Магистральное освещение КСС ""Ш""/""Шб""";"14822.0";"";"";"";"Mlight CC A-150-К-Р-4/5К-ШБ-65-М";"тм MLight";"Россия (г. Санкт-Петербург)"
