stock
stock;;;;;;;;;;
id;name;description;category;price;in_stock;rating;review_count;sku;manufacturer;country
1;Светильник Econex Highway 80 W3 4000К G2;"Светильник Econex Highway 80 W3 4000К G2
  Световой поток: 13600
  Мощность: 84Вт
  Срок: 21 дней";Серия Highway G2;24775;Срок производства не более 10-14 дней;;;2508001;Эконекс;РФ
2;Светильник Econex Highway 100 W3 4000К G2;"Светильник Econex Highway 100 W3 4000К G2
  Световой поток: 16500
  Мощность: 102Вт
  Срок: 21 дней";Серия Highway G2;29498;Срок производства не более 10-14 дней;;;2510001;Эконекс;РФ
3;Светильник Econex Highway 120 W3 4000К G2;"Светильник Econex Highway 120 W3 4000К G2
  Световой поток: 18100
  Мощность: 112Вт
  Срок: 21 дней";Серия Highway G2;29928;Срок производства не более 10-14 дней;;;2512001;Эконекс;РФ
4;Светильник Econex Highway 140 W3 4000К G2;"Светильник Econex Highway 140 W3 4000К G2
  Световой поток: 24100
  Мощность: 149Вт
  Срок: 21 дней";Серия Highway G2;41581;Срок производства не более 10-14 дней;;;2514001;Эконекс;РФ
5;Светильник Econex Highway 160 W3 4000К G2;"Светильник Econex Highway 160 W3 4000К G2
  Световой поток: 27100
  Мощность: 167Вт
  Срок: 21 дней";Серия Highway G2;43431;Срок производства не более 10-14 дней;;;2516001;Эконекс;РФ
6;Светильник Econex Highway 180 W3 4000К G2;"Светильник Econex Highway 180 W3 4000К G2
  Световой поток: 30000
  Мощность: 185Вт
  Срок: 21 дней";Серия Highway G2;44774;Срок производства не более 10-14 дней;;;2518001;Эконекс;РФ
7;Светильник Econex Highway 200 W3 4000К G2;"Светильник Econex Highway 200 W3 4000К G2
  Световой поток: 32000
  Мощность: 200Вт
  Срок: 21 дней";Серия Highway G2;48363;Срок производства не более 10-14 дней;;;2520001;Эконекс;РФ
8;Светильник Econex Highway 80 W3 4000К G2 IcePro;"Светильник Econex Highway 80 W3 4000К G2 IcePro
  Световой поток: 12800
  Мощность: 80Вт
  Срок:  дней";Серия Highway G2 IcePro;65356;Срок производства не более 10-14 дней;;;1014814416;Эконекс;РФ
9;Светильник Econex Highway 80 W3 5000К G2 IcePro;"Светильник Econex Highway 80 W3 5000К G2 IcePro
  Световой поток: 12800
  Мощность: 80Вт
  Срок:  дней";Серия Highway G2 IcePro;65356;Срок производства не более 10-14 дней;;;1014814417;Эконекс;РФ
10;Светильник Econex Highway 100 W3 4000К G2 IcePro;"Светильник Econex Highway 100 W3 4000К G2 IcePro
  Световой поток: 16000
  Мощность: 100Вт
  Срок:  дней";Серия Highway G2 IcePro;69215;Срок производства не более 10-14 дней;;;1014814418;Эконекс;РФ
